info_id,salary,jobname,workingplace,company,posttime
https://jobs.51job.com/xian-blq/92561915.html?s=01&t=0,0.4-2万/月,医药销售代表,西安,西安梅花鹿医药有限公司,07-30
https://jobs.51job.com/dalian/105054589.html?s=01&t=0,0.6-1万/月,宠物医药销售代表,大连,上海汉维生物医药科技有限公司,07-30
https://jobs.51job.com/henansheng/64192828.html?s=01&t=0,6-8千/月,医药销售代表,河南,河南远大生物制药有限公司,07-30
https://jobs.51job.com/chengdu-czs/103579034.html?s=01&t=0,0.8-1万/月,医药销售代表,成都,成都倍立齐医药科技有限公司,07-30
https://jobs.51job.com/wuhan/91410417.html?s=01&t=0,6-8千/月,医药销售代表,武汉,四川美康医药软件研究开发有限公司,07-30
https://jobs.51job.com/jinhua/103589755.html?s=01&t=0,4.5-6千/月,医药销售代表,金华,杭州全欣生物科技有限公司,07-30
https://jobs.51job.com/shenyang-shq/105047650.html?s=01&t=0,6-8千/月,医药销售代表,沈阳,辽宁美福康健咨询服务有限公司,07-30
https://jobs.51job.com/guangzhou-byq/104635458.html?s=01&t=0,0.8-1万/月,医药销售代表,广州,广东腾格泰营销策划有限公司,07-30
https://jobs.51job.com/hubeisheng/104475683.html?s=01&t=0,6-8千/月,医药销售代表（襄阳）,异地,湖北九州通基药有限公司,07-30
https://jobs.51job.com/xian/82079091.html?s=01&t=0,0.8-1万/月,医药销售代表,西安,西安联森医药有限责任公司,07-30
https://jobs.51job.com/zhanjiang/105047913.html?s=01&t=0,0.4-1万/月,医药销售代表,湛江,瑞博戴科（广州）生殖健康研究有限...,07-30
https://jobs.51job.com/shanghai/103523243.html?s=01&t=0,6-8千/月,医药销售代表,上海,上海贝拉美生物科技有限公司,07-30
https://jobs.51job.com/zibo/87270884.html?s=01&t=0,4.5-6千/月,医药销售代表,异地,烟台金泰医药咨询服务有限公司,07-30
https://jobs.51job.com/nanjing-jyq/104447650.html?s=01&t=0,3-4.5千/月,医药销售代表,南京,江苏宏辉生物科技有限公司,07-30
https://jobs.51job.com/shanghai-ypq/85095062.html?s=01&t=0,4.5-6千/月,医药销售代表/业务员（底薪+高额提成+五险一金）,上海,上海同进基因科技有限公司,07-30
https://jobs.51job.com/jinan-szq/92825464.html?s=01&t=0,4-8千/月,医药销售代表,济南,山东思达康生物科技有限公司,07-30
https://jobs.51job.com/shenyang/69612924.html?s=01&t=0,6-8万/年,医药销售代表,沈阳,辽宁省医药对外贸易有限公司,07-30
https://jobs.51job.com/guangzhou/94509464.html?s=01&t=0,0.8-1万/月,医药销售代表（耗材 医美）,广州,广州禾洋医药科技有限公司,07-30
https://jobs.51job.com/chengdu/59238703.html?s=01&t=0,3-8千/月,OTC医药销售代表/医药学术专员,成都,山东步长制药股份有限公司,07-30
https://jobs.51job.com/shanghai-pdxq/80433942.html?s=01&t=0,0.8-2万/月,Sales Engineer-医药销售代表（上海）,上海,美国Selleck生物科技有限公司（中...,07-30
https://jobs.51job.com/nanjing/103774177.html?s=01&t=0,0.5-1万/月,医药销售代表,南京,北京泰德制药股份有限公司,07-30
https://jobs.51job.com/shanghai-cnq/69311688.html?s=01&t=0,0.6-1万/月,医药销售代表,上海,乐明医药咨询（上海）有限公司,07-30
https://jobs.51job.com/guangzhou-hzq/104744829.html?s=01&t=0,4.5-6千/月,医药销售代表（五险一金+双休）,广州,广州朗原信息科技有限公司,07-30
https://jobs.51job.com/taizhoue/103200683.html?s=01&t=0,0.8-1万/月,医药销售代表,台州,杭州新荷健康管理有限公司,07-30
https://jobs.51job.com/nanjing-glq/104371907.html?s=01&t=0,0.8-1万/月,医药销售代表,南京,南京宝中堂医疗科技有限公司,07-30
https://jobs.51job.com/guangzhou/93445305.html?s=01&t=0,6-8千/月,医药销售代表,广州,广州市瑞康医药科技有限公司,07-30
https://jobs.51job.com/chengdu/105042585.html?s=01&t=0,0.8-1万/月,医药销售代表,成都,四川九州通医药有限公司,07-30
https://jobs.51job.com/beijing-fsq/104887659.html?s=01&t=0,4.5-6千/月,医药销售代表,北京,北京柏诺康生物科技有限公司,07-30
https://jobs.51job.com/chongqing-naq/104442483.html?s=01&t=0,0.8-1万/月,医药销售代表,重庆,重庆景孜健康管理咨询有限公司,07-30
https://jobs.51job.com/taizhoue/91174498.html?s=01&t=0,3-8千/月,医药销售代表,台州,温州高品科技有限公司,07-30
https://jobs.51job.com/suzhou-wzq/103717427.html?s=01&t=0,0.3-1.5万/月,医药销售代表,苏州,吴中区木渎艾倍力商务信息咨询服务部,07-30
https://jobs.51job.com/shijiazhuang/82367919.html?s=01&t=0,3-4.5千/月,医药销售代表,石家,河北贤康医疗设备贸易有限公司,07-30
https://jobs.51job.com/changsha-ylq/104896098.html?s=01&t=0,5-8万/年,医药销售代表,长沙,湖南瑞药医药有限公司,07-30
https://jobs.51job.com/nanjing-yhtq/101572709.html?s=01&t=0,0.8-1万/月,公司直招+医药销售代表+高底薪5000,南京,南京寿乐生物科技有限公司,07-30
https://jobs.51job.com/shanghai-cnq/97016001.html?s=01&t=0,0.8-1万/月,医药销售代表,上海,上海瑞联医疗技术有限公司,07-30
https://jobs.51job.com/shenzhen-nsq/67033976.html?s=01&t=0,6-8千/月,医药销售代表,深圳,深圳市靓康园生物科技有限公司,07-30
https://jobs.51job.com/kunming-xsq/77599592.html?s=01&t=0,3-4.5千/月,医药销售代表,昆明,昆明众视科技有限公司,07-30
https://jobs.51job.com/nanjing/92758957.html?s=01&t=0,3.5-8千/月,医药销售代表,南京,南京考门医药科技有限公司,07-30
https://jobs.51job.com/jinan/88807055.html?s=01&t=0,6-8千/月,医药销售代表,济南,山东泓润健康科技有限公司,07-30
https://jobs.51job.com/beijing/40858905.html?s=01&t=0,0.5-1.5万/月,医药销售代表,北京,启东盖天力药业有限公司,07-30
https://jobs.51job.com/nanjing-glq/102927073.html?s=01&t=0,3-4.5千/月,医药销售代表,南京,南京聚力医药科技有限公司,07-30
